,Federal Provider Number,Provider Name,Provider State,Survey Date,Survey Type,Deficiency Prefix,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency
621,395675,WAYNESBURG HEALTHCARE AND REHABILITATION CENTER,PA,02/22/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/10/2019,1,Y,False
638,396122,FOX SUBACUTE AT MECHANICSBURG,PA,05/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/14/2019,1,N,True
644,395794,SAINT JOHN XXIII HOME,PA,02/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",03/15/2019,1,Y,False
663,395721,"PARAMOUNT NURSING AND REHAB AT FAYETTEVILLE, LLC",PA,01/31/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/25/2019,1,Y,False
666,396049,JAMESON CARE CENTER,PA,07/24/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",08/30/2019,1,N,True
667,395604,GREENSBURG CARE CENTER,PA,05/15/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/11/2019,1,N,True
671,425061,MUSC HEALTH CHESTER NURSING CENTER,SC,06/12/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",07/10/2019,1,Y,False
681,015450,WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE,AL,10/17/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/20/2019,1,Y,False
694,395651,BIRCHWOOD HEALTHCARE AND REHABILITATION CENTER,PA,05/22/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",07/17/2019,1,Y,False
697,395926,SACRED HEART HOSPITAL TCF,PA,09/06/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/21/2019,1,Y,False
717,396074,ALLIED SERVICES SKILLED NURSING CENTER,PA,11/08/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/30/2019,1,Y,False
744,395583,SOUTH MOUNTAIN RESTORATION CEN,PA,02/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",04/01/2019,1,Y,False
745,395554,FOREST CITY NURSING AND REHAB CENTER,PA,02/01/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",05/22/2019,1,Y,False
755,396098,UPMC MAGEE-WOMENS HOSPITAL TCU,PA,03/11/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/07/2019,1,Y,False
756,395838,FOXDALE VILLAGE,PA,05/24/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",07/12/2019,1,Y,False
757,395812,LAURELWOOD CARE CENTER,PA,07/12/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/28/2019,1,Y,False
800,396009,NORRITON SQUARE NURSING AND REHABILITATION CENTER,PA,03/29/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/23/2019,1,Y,False
814,39A437,HOLLIDAYSBURG VETERANS HOME,PA,10/25/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/18/2018,1,Y,False
875,395670,MONROEVILLE REHABILITATION AND WELLNESS CENTER,PA,05/03/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/11/2019,1,Y,False
887,415010,SAINT ELIZABETH HOME EAST GREENWICH,RI,06/06/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/08/2019,1,Y,False
943,395815,ST MARTHA CENTER FOR REHABILITATION & HEALTHCARE,PA,04/05/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",05/17/2019,1,Y,False
957,395518,COURTYARD GARDENS NURSING AND REHAB CTR,PA,03/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/09/2019,1,Y,False
997,425053,PRUITTHEALTH-WALTERBORO,SC,01/11/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",02/11/2019,1,Y,False
1001,395905,KINGSTON HEALTH CARE CENTER,PA,05/03/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/05/2019,1,Y,False
1033,395977,CHERRY TREE NURSING CENTER,PA,09/09/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",10/07/2019,1,Y,False
1061,395901,TITUSVILLE HEALTHCARE AND REHABILITATION CENTER,PA,02/15/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/02/2019,1,Y,False
1099,035094,HAVEN OF SEDONA,AZ,08/28/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/26/2019,1,Y,False
1108,035095,DESERT COVE NURSING CENTER,AZ,04/04/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",05/25/2019,1,Y,False
1162,395588,ARISTACARE AT PARK AVENUE,PA,08/30/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/09/2019,1,Y,False
1168,396095,SCRANTON HEALTH CARE CENTER,PA,11/07/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/08/2019,1,Y,False
1206,395959,"CARING PLACE, THE",PA,06/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/23/2019,1,Y,False
1264,396085,MON VALLEY CARE CENTER,PA,09/06/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/22/2019,1,Y,False
1277,395618,MULBERRY HEALTHCARE AND REHABILITATION CENT,PA,04/18/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/11/2019,1,Y,False
1361,395715,WESLEY  ENHANCED LIVING AT STAPELEY,PA,10/30/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/30/2019,1,Y,False
1371,396073,"NORTH STRABANE REHABILITATION AND WELLNESS CTR, LL",PA,08/01/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",08/15/2019,1,N,True
1381,395902,NORMANDIE RIDGE,PA,09/05/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/04/2019,1,Y,False
1390,405030,MILLENNIUM INSTITUTE FOR ADVANCE NURSING CARE INC,PR,03/13/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/24/2019,1,Y,False
1395,415082,RIVERVIEW HEALTHCARE COMMUNITY,RI,06/13/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/10/2019,1,Y,False
1428,396056,WILLIAM PENN CARE CENTER,PA,02/26/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/22/2019,1,N,True
1458,396133,VIBRA REHABILITATION CENTER,PA,08/14/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/12/2019,1,Y,False
1489,395519,GREEN MEADOWS NURSING & REHABILITATION CENTER,PA,06/03/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/20/2019,1,N,True
1536,425035,J F HAWKINS NURSING HOME,SC,11/25/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/20/2019,1,Y,False
1628,265620,HILLCREST CARE CENTER INC,MO,06/14/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/26/2019,1,Y,False
1636,395509,DRESHER HILL HEALTH & REHABILITATION CENTER,PA,10/19/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",12/04/2018,1,Y,False
1642,415040,ROYAL MIDDLETOWN NURSING CENTER,RI,11/26/2019,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",12/19/2019,1,Y,True
1663,395567,DUNMORE HEALTH CARE CENTER,PA,12/07/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",02/07/2019,1,Y,False
1685,395768,MEADOWOOD,PA,06/10/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/15/2019,1,Y,False
1726,395589,MOUNT CARMEL NURSING AND REHAB,PA,03/08/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/23/2019,1,Y,False
1733,395740,BRANDYWINE HALL,PA,07/24/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/27/2019,1,Y,False
1741,415031,SILVER CREEK MANOR,RI,05/16/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/06/2019,1,Y,False
1754,395847,FOX SUBACUTE AT CLARA BURKE,PA,10/10/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/09/2019,1,Y,False
1758,395514,MAYBROOK HILLS REHABILITATION AND HEALTHCARE CENTE,PA,02/28/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/15/2019,1,Y,False
1770,396070,THE PINES AT PHILADELPHIA REHAB AND HEALTHCARE CTR,PA,03/11/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/16/2019,1,Y,False
1824,395793,"ORCHARD MANOR, INC",PA,08/23/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",10/15/2019,1,Y,False
1835,395535,LAUREL SQUARE HEALTHCARE AND REHABILITATION CENTER,PA,12/13/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/07/2019,1,Y,False
1921,425055,JOLLEY ACRES HEALTHCARE CENTER,SC,12/19/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/15/2020,1,Y,False
1925,395650,WARREN MANOR,PA,11/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/22/2019,1,Y,False
1960,395899,"GARDENS AT ORANGEVILLE, THE",PA,06/28/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/07/2019,1,Y,False
2017,285004,ST JANE DE CHANTAL,NE,06/04/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",07/19/2019,1,Y,False
2022,395526,CHARLES M. MORRIS NURSING AND,PA,11/21/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has plan of correction",01/16/2020,1,Y,False
2064,396076,BALA NURSING AND RETIREMENT CE,PA,04/23/2019,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",06/14/2019,1,Y,False
2077,395646,OAK HILL HEALTHCARE AND REHABILITATION CENTER,PA,11/15/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/11/2019,1,Y,False
2095,395538,"CHESWICK REHABILITATION AND WELLNESS CENTER, LLC",PA,10/31/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",12/03/2019,1,Y,False
2105,395882,LONGWOOD AT OAKMONT,PA,02/28/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",04/16/2019,1,Y,False
2151,395716,SMITH HEALTH CARE LTD,PA,05/22/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",07/20/2019,1,Y,False
2159,395712,CARLETON HEALTHCARE AND REHABILITATION CENTER,PA,05/31/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",07/18/2019,1,Y,False
2161,395569,HILLSDALE PARK REHAB CENTER,PA,09/26/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/25/2019,1,Y,False
2163,396021,REDSTONE HIGHLANDS HEALTH CARE,PA,11/08/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/20/2019,1,Y,False
2195,415119,BERKSHIRE PLACE,RI,03/15/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/08/2019,1,Y,True
2234,395620,WEST HILLS HEALTH AND REHABILITATION CENTER,PA,09/13/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/18/2019,1,Y,False
2255,395571,MUNCY PLACE,PA,04/12/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/28/2019,1,Y,False
2266,395865,MAPLEWOOD NURSING AND REHAB  CENTER,PA,12/20/2018,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",02/08/2019,1,Y,False
2317,395619,"ROLLING FIELDS, INC",PA,06/26/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/23/2019,1,Y,False
2334,395851,REHAB & NURSING CTR GREATER PITTSBURGH,PA,11/08/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/07/2020,1,Y,False
2340,395536,EDISON MANOR NURSING & REHABILITATION CENTER,PA,09/13/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",10/15/2019,1,Y,False
2346,395990,"TRANSITIONAL CARE CENTER AT GROVE CITY MED CTR,THE",PA,04/05/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/20/2019,1,Y,False
2353,395549,SHERWOOD OAKS,PA,06/13/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/05/2019,1,Y,False
2358,395851,REHAB & NURSING CTR GREATER PITTSBURGH,PA,05/15/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/28/2019,1,N,True
2446,525064,LINDENGROVE NEW BERLIN,WI,03/05/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/19/2019,1,Y,True
2460,396056,WILLIAM PENN CARE CENTER,PA,11/06/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/30/2019,1,Y,False
2468,395895,VALLEY VIEW REHAB AND NURSING CENTER,PA,11/01/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/16/2019,1,Y,False
2476,396122,FOX SUBACUTE AT MECHANICSBURG,PA,06/21/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",08/20/2019,1,Y,True
2505,395989,PROVIDENCE REHAB AND HLTHCARE CTRATMERCYFITZGERALD,PA,01/29/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",02/26/2019,1,Y,False
2507,415008,GREENWOOD CENTER,RI,11/26/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/26/2019,1,Y,False
2521,395552,BETHLEN HM OF THE HUNGARIAN RF,PA,01/31/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",03/30/2019,1,Y,False
2537,395751,ROCHESTER MANOR,PA,01/18/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",03/01/2019,1,Y,False
2636,395485,POWERBACK REHABILITATION 1526 LOMBARD STREET,PA,07/23/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/11/2019,1,N,True
2637,425054,NHC HEALTHCARE - LAURENS,SC,11/30/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/20/2018,1,Y,False
2712,395566,HIGHLAND MANOR REHABILITATION AND NURSING CENTER,PA,02/01/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",02/26/2019,1,Y,False
2781,395506,KADIMA REHABILITATION & NURSING AT PALMYRA,PA,02/22/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/14/2019,1,N,True
2782,395627,FAIRLANE GARDENS NURSING AND REHAB AT READING,PA,04/12/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/22/2019,1,Y,False
2785,396069,ARBUTUS PARK MANOR,PA,12/20/2018,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/24/2019,1,Y,False
2814,395828,CAMBRIA CARE CENTER,PA,04/25/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",06/04/2019,1,Y,False
2848,405018,RYDER MEMORIAL HOSPITAL INC,PR,05/23/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/03/2019,1,Y,False
2849,415089,ALPINE NURSING HOME INC,RI,05/03/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/01/2019,1,Y,False
2908,395686,ST IGNATIUS NURSING & REHAB CENTER,PA,07/15/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",08/16/2019,1,Y,False
2915,396135,ALLIED SERVICES TRANSITIONAL REHAB UNIT,PA,02/22/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",04/19/2019,1,Y,False
2947,395507,ELM TERRACE GARDENS,PA,01/04/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/28/2019,1,Y,False
2989,39A437,HOLLIDAYSBURG VETERANS HOME,PA,03/28/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/07/2019,1,N,True
2993,395984,AVENTURA AT CREEKSIDE,PA,03/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",04/08/2019,1,N,True
3098,045421,ASHLEY REHABILITATION AND HEALTH CARE CENTER,AR,10/18/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/12/2019,1,Y,False
3103,425129,BRIAN CENTER NURSING CARE - ST ANDREWS,SC,10/05/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/11/2018,1,Y,False
3123,435066,AVERA PRINCE OF PEACE,SD,12/19/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/18/2020,1,Y,False
3128,445155,DIVERSICARE OF DOVER,TN,08/27/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/16/2019,1,Y,False
3134,44E132,TENNOVA NEWPORT CONVALESCENT CENTER,TN,10/23/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/28/2019,1,Y,False
3142,435124,GOOD SAMARITAN SOCIETY MILLER,SD,12/05/2018,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",01/23/2019,1,Y,False
3178,455563,DENISON NURSING AND REHABILITATION LP,TX,03/27/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",04/11/2019,1,Y,False
3187,435073,BETHESDA HOME OF ABERDEEN,SD,09/26/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",10/18/2019,1,Y,False
3306,445426,BRIGHT GLADE HEALTH AND REHABILITATION CENTER INC,TN,09/26/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",10/18/2019,1,Y,False
3330,435129,DELLS NURSING AND REHAB CENTER INC,SD,08/01/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",09/20/2019,1,Y,False
3344,455533,WINDCREST NURSING AND REHABILITATION,TX,02/08/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",02/09/2019,1,Y,False
3356,445480,THE WATERS OF SPRINGFIELD LLC,TN,12/05/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has no plan of correction",,1,Y,False
3364,425158,RIDGEWAY MANOR HEALTHCARE CENTER,SC,07/10/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",08/09/2019,1,Y,False
3372,435131,"HUDSON CARE AND REHAB CENTER, LLC",SD,07/02/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/21/2019,1,Y,False
3397,425414,RETREAT AT WELLMORE OF DANIEL ISLAND,SC,03/08/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",04/08/2019,1,Y,False
3404,445274,CAMDEN HEALTHCARE & REHAB CENTER,TN,08/14/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/06/2019,1,Y,False
3412,445383,HORIZON HEALTH AND REHAB CENTER,TN,04/03/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",05/17/2019,1,Y,False
3439,445391,MANCHESTER HEALTH CARE CENTER,TN,08/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/21/2019,1,Y,False
3471,455416,THE OAKS AT WHITE SETTLEMENT,TX,06/06/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",06/25/2019,1,Y,True
3500,435071,BETHESDA HOME,SD,10/17/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",11/13/2019,1,Y,False
3501,455485,THE CLAIRMONT TYLER,TX,01/09/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",02/08/2019,1,Y,False
3504,455602,WESTERN HILLS HEALTHCARE RESIDENCE,TX,08/23/2019,Health,F,880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",09/30/2019,1,N,True
3506,445123,ALEXIAN VILLAGE OF TENNESSEE,TN,11/20/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",12/20/2019,1,Y,False
3538,445069,"NHC HEALTHCARE, MILAN",TN,08/01/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",08/04/2019,1,Y,False
3539,445502,"THE WATERS OF SMYRNA, LLC",TN,08/07/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",09/02/2019,1,Y,False
3545,445495,"COLLIERVILLE NURSING AND REHABILITATION, LLC",TN,12/11/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has no plan of correction",,1,Y,False
3546,455477,LAKE JACKSON HEALTHCARE CENTER,TX,10/22/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",11/08/2019,1,N,True
3561,445489,HUMPHREYS COUNTY CARE AND REHABILITATION,TN,12/11/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",01/15/2020,1,Y,False
3565,425320,NHC HEALTHCARE - NORTH AUGUSTA,SC,06/27/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/27/2019,1,Y,False
3569,445419,OVERTON COUNTY HEALTH AND REHAB CENTER,TN,06/26/2019,Health,F,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",07/12/2019,1,N,True
3594,455551,PLAINVIEW HEALTHCARE CENTER,TX,09/19/2019,Health,F,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",09/20/2019,1,Y,False
